codigo_localidad,anio,casos,sexo,mes,dia_semana,rango_hora,tipo_accidente,circunstancia,condicion_victima,medio_transporte,localidad,ciclo_vital
0,2015,1,Hombre,enero,jueves,21:00 a 23:59,Sin información,Sin información,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
0,2015,1,Hombre,abril,miércoles,21:00 a 23:59,Choque con otro vehículo,Sin información,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Hombre,agosto,martes,Sin información,Sin información,Desobedecer señales de tránsito,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
0,2015,1,Hombre,mayo,lunes,Sin información,Choque con otro vehículo,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
8,2015,1,Hombre,abril,jueves,06:00 a 08:59,Choque con otro vehículo,Desobedecer señales de tránsito,Conductor,Bicicleta,Kennedy,(29 a 59) Adultez
0,2015,1,Hombre,julio,miércoles,06:00 a 08:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Hombre,octubre,lunes,09:00 a 11:59,Choque con otro vehículo,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
10,2015,1,Hombre,agosto,lunes,15:00 a 17:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Engativá,(18 a 28) Juventud
6,2015,1,Hombre,noviembre,lunes,03:00 a 05:59,Volcamiento,Posibles fallas mecánicas,Conductor,Bicicleta,Tunjuelito,(29 a 59) Adultez
16,2015,1,Hombre,septiembre,miércoles,Sin información,Caída del ocupante,Sin información,Conductor,Bicicleta,Puente Aranda,(29 a 59) Adultez
8,2015,1,Hombre,agosto,martes,06:00 a 08:59,Sin información,Otras circunstancias no especificadas,Conductor,Bicicleta,Kennedy,(29 a 59) Adultez
0,2015,1,Hombre,diciembre,domingo,06:00 a 08:59,Choque con otro vehículo,Desobedecer señales de tránsito,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
14,2015,1,Hombre,agosto,lunes,09:00 a 11:59,Choque con otro vehículo,Exceso de velocidad,Conductor,Bicicleta,Los Mártires,(29 a 59) Adultez
12,2015,1,Hombre,mayo,jueves,15:00 a 17:59,Sin información,Otras circunstancias no especificadas,Conductor,Bicicleta,Barrios Unidos,(29 a 59) Adultez
0,2015,1,Hombre,julio,jueves,09:00 a 11:59,Choque con objeto fijo o en movimiento,Desobedecer señales de tránsito,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Hombre,junio,martes,12:00 a 14:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
1,2015,1,Hombre,enero,viernes,Sin información,Choque con otro vehículo,Contravía,Conductor,Bicicleta,Usaquén,(Más de 60) Adulto Mayor
0,2015,1,Hombre,octubre,jueves,15:00 a 17:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
5,2015,1,Hombre,agosto,martes,Sin información,Sin información,Desobedecer señales de tránsito,Conductor,Bicicleta,Usme,(Más de 60) Adulto Mayor
0,2015,1,Hombre,febrero,viernes,Sin información,Choque con objeto fijo o en movimiento,Desobedecer señales de tránsito,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Hombre,abril,domingo,15:00 a 17:59,Choque con objeto fijo o en movimiento,Sin información,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
9,2015,1,Hombre,enero,jueves,21:00 a 23:59,Sin información,Sin información,Conductor,Bicicleta,Fontibón,(18 a 28) Juventud
10,2015,1,Hombre,abril,jueves,Sin información,Choque con otro vehículo,Sin información,Conductor,Bicicleta,Engativá,(18 a 28) Juventud
